epoch,step,stage,loss,ACC,AUC,MCC,Q-value,F1,F0.5,F2,SE,SP,PPV,NPV,TP,FP,TN,FN
41,17220,train,0.3003,0.878,0.892,0.584,0.745,0.634,0.729,0.561,0.521,0.969,0.809,0.888,1388,327,10129,1276
42,17630,valid,0.5944,0.802,0.687,0.263,0.605,0.357,0.425,0.307,0.281,0.928,0.487,0.842,38,40,516,97
42,17630,train,0.2994,0.877,0.892,0.578,0.744,0.63,0.721,0.559,0.521,0.967,0.797,0.889,1372,349,10136,1263
43,18040,valid,0.5972,0.81,0.682,0.301,0.621,0.391,0.462,0.339,0.311,0.932,0.525,0.848,42,38,518,93
43,18040,train,0.3062,0.876,0.888,0.585,0.746,0.636,0.729,0.565,0.525,0.967,0.808,0.886,1425,339,10067,1289
44,18450,valid,0.6017,0.815,0.685,0.306,0.618,0.385,0.468,0.326,0.296,0.941,0.548,0.846,40,33,523,95
44,18450,train,0.2952,0.88,0.893,0.583,0.743,0.63,0.727,0.557,0.516,0.97,0.809,0.89,1346,317,10196,1261
45,18860,valid,0.6285,0.815,0.68,0.309,0.621,0.39,0.471,0.333,0.304,0.939,0.547,0.847,41,34,522,94
45,18860,train,0.2911,0.882,0.9,0.604,0.754,0.651,0.747,0.578,0.537,0.971,0.828,0.89,1449,302,10120,1249
46,19270,valid,0.6055,0.812,0.687,0.286,0.608,0.363,0.45,0.304,0.274,0.942,0.536,0.842,37,32,524,98
46,19270,train,0.2909,0.883,0.902,0.611,0.758,0.659,0.753,0.585,0.545,0.971,0.833,0.89,1488,298,10091,1243
47,19680,valid,0.6342,0.806,0.679,0.27,0.605,0.356,0.433,0.302,0.274,0.935,0.507,0.841,37,36,520,98
47,19680,train,0.2938,0.885,0.896,0.605,0.755,0.652,0.744,0.58,0.54,0.971,0.822,0.894,1417,307,10190,1206
48,20090,valid,0.6326,0.806,0.679,0.27,0.605,0.356,0.433,0.302,0.274,0.935,0.507,0.841,37,36,520,98
48,20090,train,0.2885,0.885,0.9,0.607,0.758,0.655,0.745,0.585,0.546,0.97,0.819,0.895,1429,315,10186,1190
49,20500,valid,0.6695,0.809,0.659,0.297,0.62,0.389,0.458,0.338,0.311,0.93,0.519,0.848,42,39,517,93
49,20500,train,0.2866,0.885,0.902,0.61,0.76,0.658,0.747,0.588,0.549,0.97,0.821,0.895,1453,316,10159,1192
50,20500,valid,0.6314,0.745,0.493,-0.042,0.486,0.083,0.11,0.067,0.059,0.912,0.14,0.8,8,49,507,127
50,20500,test,0.6709,0.622,0.468,-0.054,0.487,0.071,0.123,0.05,0.041,0.932,0.245,0.646,12,37,507,278
