epoch,step,stage,loss,ACC,AUC,MCC,Q-value,F1,F0.5,F2,SE,SP,PPV,NPV,TP,FP,TN,FN
41,18648,train,0.2932,0.884,0.888,0.584,0.737,0.622,0.733,0.541,0.498,0.976,0.83,0.891,1362,278,11194,1374
42,19092,valid,0.5744,0.816,0.677,0.351,0.644,0.439,0.514,0.383,0.353,0.934,0.581,0.849,54,39,556,99
42,19092,train,0.2914,0.883,0.896,0.602,0.749,0.644,0.748,0.565,0.523,0.974,0.838,0.89,1501,290,11047,1370
43,19536,valid,0.5817,0.811,0.666,0.312,0.617,0.384,0.481,0.32,0.288,0.946,0.579,0.838,44,32,563,109
43,19536,train,0.292,0.879,0.895,0.579,0.738,0.623,0.727,0.546,0.504,0.972,0.817,0.888,1422,319,11067,1400
44,19980,valid,0.564,0.816,0.681,0.357,0.649,0.448,0.518,0.395,0.366,0.931,0.577,0.851,56,41,554,97
44,19980,train,0.3004,0.879,0.887,0.576,0.735,0.619,0.725,0.54,0.497,0.973,0.819,0.887,1396,309,11092,1411
45,20424,valid,0.5835,0.818,0.669,0.354,0.641,0.433,0.519,0.372,0.34,0.941,0.598,0.847,52,35,560,101
45,20424,train,0.2908,0.885,0.894,0.602,0.748,0.643,0.746,0.564,0.522,0.975,0.836,0.892,1468,287,11108,1345
46,20868,valid,0.5824,0.811,0.666,0.329,0.631,0.415,0.495,0.357,0.327,0.936,0.568,0.844,50,38,557,103
46,20868,train,0.292,0.883,0.895,0.598,0.748,0.642,0.742,0.566,0.524,0.973,0.828,0.891,1486,309,11064,1349
47,21312,valid,0.5811,0.82,0.665,0.36,0.644,0.44,0.525,0.379,0.346,0.941,0.602,0.848,53,35,560,100
47,21312,train,0.2828,0.887,0.899,0.609,0.751,0.648,0.755,0.568,0.524,0.977,0.848,0.893,1475,264,11131,1338
48,21756,valid,0.6275,0.809,0.665,0.348,0.652,0.452,0.504,0.41,0.386,0.918,0.546,0.853,59,49,546,94
48,21756,train,0.2942,0.881,0.897,0.604,0.754,0.652,0.748,0.579,0.538,0.971,0.828,0.889,1586,329,10932,1361
49,22200,valid,0.6013,0.814,0.662,0.345,0.64,0.433,0.509,0.376,0.346,0.934,0.576,0.848,53,39,556,100
49,22200,train,0.2817,0.889,0.9,0.613,0.757,0.656,0.753,0.58,0.539,0.974,0.837,0.896,1507,294,11117,1290
50,22200,valid,0.6396,0.693,0.442,-0.084,0.464,0.094,0.108,0.084,0.078,0.85,0.119,0.782,12,89,506,141
50,22200,test,0.6543,0.635,0.406,-0.18,0.428,0.034,0.041,0.029,0.027,0.83,0.048,0.726,6,119,581,219
